Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Acetanaerobacterium	1.181	0.592	1.023	0.646	0.0228237431142113	0.736385596805645	0.00567987923512721	0.0500366675965401	0.936121042518216	0.00667532198767527
Acetivibrio	0.517	0.764	0.31	0.528	0.00306040083188372	0.453854881965844	2.3352092867966e-19	0.00775301544077209	0.936121042518216	8.06708662711551e-19
Acidaminococcus	0.416	0.889	0.471	0.895	0.791065036574212	0.197190303868492	9.95795849729009e-35	0.966892572993083	0.936121042518216	8.10862334779336e-34
Acinetobacter	0.067	0.258	0.983	0.854	7.05635600339045e-38	0.383953738483396	0.131085959937191	8.9380509376279e-37	0.936121042518216	0.139661676942427
Actinomyces	1.321	0.703	1.01	0.815	7.13042323852493e-05	0.470844126653228	0.0800712825339402	0.000225796735886623	0.936121042518216	0.0869345353225636
Akkermansia	1.554	1.231	1.205	1.07	0.00484929081147004	0.539145038591583	4.32688982129835e-15	0.0115170656772413	0.936121042518216	1.04950093537875e-14
Alistipes	3.357	0.698	2.997	0.738	7.24506359181078e-07	0.639828637805258	5.52773871875725e-20	2.7531241648881e-06	0.936121042518216	2.03278133528492e-19
Allisonella	0.149	0.397	0.269	0.444	0.00828756883403073	0.550398671376237	0.00114394495711549	0.0188956569415901	0.936121042518216	0.00141749701207789
Allobaculum	0.521	0.677	0.665	0.852	0.123639774777711	0.82206860503124	1.93576663752813e-15	0.227337650397727	0.979324458564634	4.9039421484046e-15
Anaerococcus	0.285	0.454	2.031	0.994	7.41811520273922e-66	0.963280227943944	0.00626346311112293	3.69426914236276e-64	0.980509441791093	0.00728606933334708
Anaerofilum	0.863	0.663	0.826	0.632	0.823566535439099	0.362760425589692	2.8223672727524e-07	0.970757494114841	0.936121042518216	4.59642670133962e-07
Anaerofustis	0.61	0.622	0.275	0.427	4.34185109666269e-10	0.531841054599273	0.000673891217291638	1.97988410007818e-09	0.936121042518216	0.000844215371112602
Anaerosphaera	0.058	0.169	1.287	0.962	1.63544648911287e-49	0.921407757814172	0.0117773150660652	2.66344142512668e-48	0.980509441791093	0.0134261391753143
Anaerostipes	1.839	0.773	1.594	0.755	0.00244759419821033	0.13129236868479	7.8182321055212e-07	0.00648897066502274	0.936121042518216	1.25532177468932e-06
Anaerotruncus	2.422	0.756	2.286	0.735	0.140650240811539	0.262247320770696	5.63817057601054e-16	0.246678883884853	0.936121042518216	1.53036058491715e-15
Anaerovorax	2.006	0.749	1.957	0.708	0.766660771495666	0.113096952236769	3.84084041443225e-11	0.966892572993083	0.936121042518216	7.17796405320125e-11
Anoxybacillus	1.334	0.699	2.913	0.928	7.62077374907389e-55	0.153045539253074	0.00533058864131539	2.17192051848606e-53	0.936121042518216	0.00633007401156203
Aquabacterium	0.698	1.029	0.697	1.003	0.999840461377824	0.95897211871453	5.57793612948201e-45	0.999840461377824	0.980509441791093	1.58971179690237e-43
Asaccharobacter	1.383	0.927	0.737	0.66	3.52074324937413e-15	0.670301626484509	6.83573466948428e-18	2.00682365214326e-14	0.936121042518216	2.22649643520345e-17
Atopobium	0.351	0.524	0.49	0.714	0.0531806431346515	0.0639944519457575	0.158450721459927	0.108260594952684	0.936121042518216	0.167253539318812
Bacteroides	4.566	0.271	4.515	0.296	0.155576105434599	0.533123737009442	1.77611561245446e-12	0.264711582381259	0.936121042518216	3.8937919196117e-12
Barnesiella	1.772	1.386	1.757	1.259	0.992008361723113	0.731380668885954	9.88262891514031e-47	0.999840461377824	0.936121042518216	5.63309848162998e-45
Beijerinckia	0.333	0.518	0.302	0.467	0.796593316216236	0.379053836259999	0.000314028142482062	0.966892572993083	0.936121042518216	0.000402238294864664
Bifidobacterium	0.422	0.593	0.254	0.437	0.00241889611771458	0.92896613056789	1.24759281113037e-10	0.00648897066502274	0.980509441791093	2.22227469482597e-10
Bilophila	1.588	1.042	1.645	0.989	0.825995411659119	0.60630062451243	1.03083952997237e-30	0.970757494114841	0.936121042518216	6.91268861275592e-30
Blautia	3.643	0.375	3.578	0.45	0.233534774647657	0.0751780031280769	0.0643855816466429	0.380328061569041	0.936121042518216	0.0705765029588202
Butyricicoccus	2.625	0.471	2.57	0.419	0.401808396793962	0.159892204419081	1.3095714480983e-05	0.602712595190943	0.936121042518216	1.86613931354008e-05
