Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Bacilli	2.39485726834818	2.99929377188074	1.72012363056449	3.54413281461817e-13	3.2940458161157e-07	5.85573926692451e-06	8.04134536736001e-13	0.337334385768077	0.0902647708768139	1.11512567569404e-12	5.81735385329907e-06	1.75766611149042e-05	4.82480722041601e-12	0.75683673744591	0.0984706591383424
Thermomicrobia	0.140054563363802	0.0673821298340439	0	1.23998741614836e-05	0.248634702176068	0.0407732697867745	0.569371912982897	0.071596716609295	0.0152649731930894	1.94084986875396e-05	0.745904106528204	0.0638190309706036	0.585639681925265	0.42958029965577	0.0183179678317073
Thermotogae	0.135137977749377	0.116287792192527	0.0238152894117063	0.00184816279604534	0.925071658961752	0.185567055922544	0.420301982779915	0.243480495391711	0.000703927024198873	0.00207918314555101	0.998815044225214	0.208762937912862	0.475269678138801	0.730243229702801	0.00140785404839775
Fusobacteriia	0.357480403305451	0.516040480899755	0.0442495621236677	0.00060132635831717	0.153834854462325	0.0112771570243088	0.000668114678857301	0.0412234526149097	0.00429694256896345	0.000773133889264933	0.503459523694883	0.021367244888164	0.00185016372606637	0.42958029965577	0.00672564923837758
Deltaproteobacteria	1.48372565488543	1.52471647707111	1.35423905616217	3.59225563622908e-11	0.897914068480073	0.509733287088116	0.422461936123379	0.448058829751572	2.22968528194899e-14	8.08257518151542e-11	0.998815044225214	0.539717598093299	0.475269678138801	0.75683673744591	8.02686701501638e-13
Clostridia	3.85591965849045	3.79735688215637	2.10254592813553	1.93179695034817e-28	0.834767170078747	1.66533453693773e-15	1.27675647831893e-14	0.992203816375905	0.00226295942817514	2.3181563404178e-27	0.998815044225214	1.99840144432528e-14	1.53210777398272e-13	0.992203816375905	0.00407332697071525
Chloroflexia	0.183105664606421	0.119870350108885	0	0.000444602121414941	0.44887428638284	0.0166989201016635	0.263180709814949	0.513696868519681	0.00906366055387132	0.000592802828553255	0.998815044225214	0.0300580561829943	0.338375198333506	0.75683673744591	0.0120848807384951
Deinococci	0.838522270721998	1.60590117876655	0.652453947511019	2.32395263778009e-13	3.10196313080269e-13	0.25143732708509	2.62763255598486e-10	0.184845727598313	0.0506407442153604	8.36622949600833e-13	1.11670672708897e-11	0.274295265911008	1.18243465019319e-09	0.730243229702801	0.0569708372422805
Mollicutes	1.09104485441839	1.42534643470402	2.03853552847785	3.78457872301433e-21	4.84779487774922e-07	2.99760216648792e-15	4.71814365354817e-10	0.593174778843973	0.999834255950658	2.2707472338086e-20	5.81735385329907e-06	2.69784194983913e-14	1.88725746141927e-09	0.762653287085108	0.999834255950658
Flavobacteriia	1.25666004019781	1.49028502567173	1.73747502019877	1.59273435576828e-05	0.00167442190877054	1.57159621982927e-07	0.0320555625342317	0.629105726306342	0.00629377768018362	2.38910153365241e-05	0.0150697971789349	5.65774639138539e-07	0.0549523929158258	0.771230874053484	0.00944066652027543
Synergistia	0.399809717212446	0.396231045413419	0.0501713787930516	2.88940149914414e-10	0.998815044225214	0.00128073385896532	0.00738140101569285	0.846186795490199	7.47172315036483e-08	6.11873258642289e-10	0.998815044225214	0.00271214228957362	0.0147628020313857	0.870363561075633	3.59557569525131e-07
Opitutae	0.187403222330422	0.129017894589094	0.0501713787930516	0.0106132844195252	0.556595223667069	0.133807278577629	0.607176541838498	0.392263873594848	0.00899593096160905	0.0112375952677325	0.998815044225214	0.160568734293154	0.607176541838498	0.75683673744591	0.0120848807384951
Spirochaetia	0.94067452399648	1.12699278518084	0.87624699262598	3.42454083393924e-05	0.0824906120918796	0.824457953538854	0.120446302347993	0.551838227464107	2.36183724263347e-07	4.93133880087251e-05	0.329962448367518	0.848013895068535	0.18066945352199	0.75683673744591	8.50261407348051e-07
Acidobacteriia	0.392680114910984	0.363108595092894	0	3.71708558564681e-13	0.925396168838327	0.000352275827861459	0.00570432379394048	0.734824690197619	1.20876499580323e-09	1.11512567569404e-12	0.998815044225214	0.000905852128786609	0.0120797445048151	0.853344801519815	1.08788849622291e-08
Actinobacteria	2.59981192717284	2.48604994226694	1.0416302943759	3.22843529889677e-24	0.584720799958296	2.16493489801906e-14	8.04911692853238e-14	0.0657943025852046	0.000110896611302703	2.90559176900709e-23	0.998815044225214	1.55875312657372e-13	7.24420523567915e-13	0.42958029965577	0.00028516271477838
Chlamydiia	0.171833208766378	0.118247335261628	0	0.0157025507207647	0.704655519387095	0.107992098603089	0.453257195063832	0.76082380801495	0.043808222104119	0.0161511950270722	0.998815044225214	0.134059156886593	0.494462394615089	0.855926784016819	0.0508740643789769
Negativicutes	1.51046864009431	1.41811657403143	0.267309070653432	2.00756328797005e-17	0.79977891468116	7.86354203974327e-10	7.49012594614129e-07	0.33145111421021	1.27678628997228e-08	9.03403479586524e-17	0.998815044225214	3.9404144946964e-09	2.69644534061086e-06	0.75683673744591	7.66071773983369e-08
